number,title,author,created_at,merged_at,additions,deletions,changed_files,commits,comments,review_comments,num_files,label,matched_fix,author_past_prs,author_past_bugs,author_past_bug_rate,is_first_pr
4394,Add documentation for available status codes,zaneb,2017-11-21 21:31:13+00:00,2017-11-23 20:19:13+00:00,34,16,2,2,1,0,2,0,,0,0.0,0.0,1
4442,Reduce overall memory usage by removing cgi dependency and writing a protected function,DemetriosBairaktaris,2017-12-31 21:15:20+00:00,2018-01-04 22:32:40+00:00,67,3,3,10,6,14,3,1,fix,0,0.0,0.0,1
4451,Prefer https over http for links in the documentation,jdufresne,2018-01-06 19:25:15+00:00,2018-01-06 23:23:00+00:00,20,20,9,1,1,0,9,1,fix,0,0.0,0.0,1
4460,Remove unsupported Python 3.3 from tox.ini,jdufresne,2018-01-11 02:38:08+00:00,2018-01-11 14:41:08+00:00,2,2,1,1,1,0,1,0,,1,1.0,1.0,0
4459,Pass python_requires argument to setuptools,jdufresne,2018-01-11 02:34:04+00:00,2018-01-13 04:06:59+00:00,1,0,1,1,6,0,1,0,,2,1.0,0.5,0
4468,Simple fix for the issue #2392,VasiliPupkin256,2018-01-13 00:42:07+00:00,2018-01-14 01:13:30+00:00,6,2,2,2,6,0,2,0,,0,0.0,0.0,1
4427,Use hostname not netloc,ddormer,2017-12-12 15:08:10+00:00,2018-01-16 14:07:26+00:00,37,11,4,1,4,1,4,1,fix,0,0.0,0.0,1
4439,Fix broken link to Certifi,nkonin,2017-12-28 09:17:44+00:00,2018-01-21 14:36:32+00:00,1,1,1,2,2,1,1,0,,0,0.0,0.0,1
4452,append previous url fragment on redirect,nateprewitt,2018-01-07 21:28:31+00:00,2018-01-21 18:41:47+00:00,86,1,3,1,4,8,3,0,,0,0.0,0.0,1
4496,"Pass kwargs from adapter send call to add_headers, per documentation",jonblum,2018-02-02 18:21:57+00:00,2018-02-03 13:40:45+00:00,1,1,1,1,2,0,1,0,,0,0.0,0.0,1
4493,Start testing 3.7,nateprewitt,2018-02-01 08:40:50+00:00,2018-02-03 14:43:31+00:00,1,1,1,2,1,0,1,0,,1,0.0,0.0,0
4498,Trim trialing white space throughout the project,jdufresne,2018-02-04 19:57:42+00:00,2018-02-05 16:37:19+00:00,7,16,8,1,3,0,8,1,fix,3,1.0,0.3333333333333333,0
4507,Minor,ss18,2018-02-07 18:38:39+00:00,2018-02-08 00:25:23+00:00,2,2,2,2,2,1,2,0,,0,0.0,0.0,1
4497,Clarify docs that Requests always uses certs from certifi,jdufresne,2018-02-03 00:01:39+00:00,2018-02-16 01:56:01+00:00,8,9,1,1,5,4,1,1,Merge pull request #4625 from nicktimko/patch-1,4,2.0,0.5,0
4499,"Remove remaining references to removed, vendored packages",jdufresne,2018-02-05 02:50:07+00:00,2018-02-17 14:15:55+00:00,12,13,5,1,2,0,5,1,Merge branch 'master' into patch-1,5,3.0,0.6,0
4500,Remove requests.packages for v3.0.0,jdufresne,2018-02-05 03:16:18+00:00,2018-03-08 18:00:50+00:00,0,30,4,1,3,0,4,1,Merge branch 'master' into patch-1,6,4.0,0.6666666666666666,0
4542,Added type hints for help.py.,RatanShreshtha,2018-03-13 06:43:00+00:00,2018-03-13 13:52:06+00:00,4,2,1,1,5,0,1,0,,0,0.0,0.0,1
4543,Type annoted requests/__init__.py.,RatanShreshtha,2018-03-14 18:15:21+00:00,2018-03-14 18:16:09+00:00,2,2,1,1,4,0,1,0,,1,0.0,0.0,0
4547,add comment about json parameter changing content-type,saraislet,2018-03-16 19:40:11+00:00,2018-03-16 19:42:56+00:00,2,0,1,1,1,0,1,0,,0,0.0,0.0,1
4596,Update all pypi.python.org URLs to pypi.org,jdufresne,2018-04-19 03:28:52+00:00,2018-04-19 10:41:37+00:00,9,9,5,1,1,0,5,1,Merge branch 'master' into patch-1,7,5.0,0.7142857142857143,0
4620,fix windows builds,nateprewitt,2018-04-29 17:38:03+00:00,2018-04-29 23:56:10+00:00,1,1,1,1,0,0,1,1,Merge branch 'master' into patch-1,2,0.0,0.0,0
4612,update json param's description to avoid confusion,Obeyed,2018-04-26 14:05:23+00:00,2018-04-30 15:00:20+00:00,1,1,1,1,5,0,1,0,,0,0.0,0.0,1
4634,Spelling.,vshih,2018-05-07 17:52:02+00:00,2018-05-08 11:12:33+00:00,1,1,1,1,1,0,1,1,Merge branch 'master' into patch-1,0,0.0,0.0,1
4583,Add a comment about lowercase env. variables precedence over uppercase,ZuZuD,2018-04-11 22:59:58+00:00,2018-05-13 13:15:57+00:00,2,0,1,1,5,1,1,1,Fix assumed hostname when using a 'file' URI scheme adapter,0,0.0,0.0,1
4632,Update license copyright to 2018,mingrammer,2018-05-05 00:58:18+00:00,2018-05-13 17:30:58+00:00,1,1,1,2,0,0,1,1,Merge branch 'master' into patch-1,0,0.0,0.0,1
4625,Certifi.io broken,nicktimko,2018-05-03 15:48:07+00:00,2018-05-14 16:22:11+00:00,1,1,1,1,2,0,1,1,Merge branch 'master' into patch-1,0,0.0,0.0,1
4647,fix appveyor,nateprewitt,2018-05-16 06:04:37+00:00,2018-05-16 13:14:38+00:00,9,8,2,1,3,0,2,1,Merge branch 'master' into patch-1,3,1.0,0.3333333333333333,0
4410,Add SHA-256 and SHA-512 digest auth algorithms,linuxlizard,2017-11-29 14:12:38+00:00,2018-05-16 14:06:58+00:00,64,41,2,6,15,0,2,1,Merge branch 'master' into patch-1,0,0.0,0.0,1
4648,bring Pipfile.lock up to date with current constraints,nateprewitt,2018-05-16 14:57:14+00:00,2018-05-16 19:31:49+00:00,335,211,1,1,5,0,1,1,Merge branch 'master' into patch-1,4,2.0,0.5,0
4631,Add long_description_content_type to setup.py,pradyunsg,2018-05-04 11:13:35+00:00,2018-05-17 14:34:07+00:00,1,0,1,3,9,0,1,1,port pyopenssl fix from urllib3,0,0.0,0.0,1
4661,Response.content minor perf improvement,ofek,2018-05-26 23:11:52+00:00,2018-05-27 00:00:26+00:00,1,1,1,1,2,0,1,0,,0,0.0,0.0,1
4669,Allow urllib3 1.23,michael-k,2018-06-05 12:06:27+00:00,2018-06-05 13:35:09+00:00,1,1,1,1,4,0,1,1,port pyopenssl fix from urllib3,0,0.0,0.0,1
4676,Update Python 2 doc links to Python 3,jdufresne,2018-06-10 03:34:44+00:00,2018-06-10 15:37:09+00:00,3,3,2,1,1,0,2,0,,8,6.0,0.75,0
4672,remove references to 2.6 support in documentation,nateprewitt,2018-06-06 05:07:17+00:00,2018-06-11 14:13:14+00:00,9,5,4,2,1,0,4,0,,5,3.0,0.6,0
4513,Copy cookie policy when copying a CookieJar,laurentb,2018-02-14 16:45:26+00:00,2018-06-12 05:13:08+00:00,13,0,2,3,6,0,2,1,Merge pull request #4755 from dohvis/patch-1,0,0.0,0.0,1
4501,Separate collections from collections.abc,rhettinger,2018-02-05 04:19:41+00:00,2018-06-12 05:15:01+00:00,17,19,7,1,3,3,7,1,Merge pull request #4723 from kalefranz/fix-no_proxy-file-url,0,0.0,0.0,1
4682,v2.19.0,nateprewitt,2018-06-12 13:50:42+00:00,2018-06-12 14:38:11+00:00,23,11,5,1,1,0,5,0,,6,3.0,0.5,0
4683,Do not alter status_codes docstring if it is None,martindurant,2018-06-12 21:55:41+00:00,2018-06-13 15:24:46+00:00,2,1,1,1,2,3,1,1,Merge pull request #4728 from yan12125/patch-1,0,0.0,0.0,1
4551,Updated types in __init__.py according to types.py,RatanShreshtha,2018-03-21 19:38:06+00:00,2018-06-14 14:39:14+00:00,5,2,2,1,3,0,2,0,,2,0.0,0.0,0
4685,Note that session() should not be used,Stevoisiak,2018-06-13 16:43:14+00:00,2018-06-21 19:09:06+00:00,6,1,1,1,11,8,1,1,Merge pull request #4718 from bmerry/fix-4716,0,0.0,0.0,1
4708,"Change ""StackOverflow"" to ""Stack Overflow""",Stevoisiak,2018-06-25 15:46:48+00:00,2018-06-25 15:48:05+00:00,3,3,2,1,0,0,2,0,,1,1.0,1.0,0
4709,Update max Twitter characters to 280,Stevoisiak,2018-06-25 16:56:32+00:00,2018-06-25 18:11:40+00:00,1,1,1,1,1,0,1,0,,2,1.0,0.5,0
4710,Remove unused session variables,Stevoisiak,2018-06-26 16:35:25+00:00,2018-06-26 16:50:41+00:00,0,6,1,1,1,0,1,1,Merge pull request #4718 from bmerry/fix-4716,3,1.0,0.3333333333333333,0
4713,Misspelled 'proxy' parameter in docstring,Stevoisiak,2018-06-26 18:58:55+00:00,2018-06-26 20:32:33+00:00,1,1,1,1,1,0,1,0,,4,2.0,0.5,0
4728,Fix an invalid escape sequence,yan12125,2018-07-08 17:12:29+00:00,2018-07-09 12:19:50+00:00,1,1,1,1,1,0,1,0,,0,0.0,0.0,1
4739,Document that params and data can be list of tuples everywhere,moy,2018-07-13 09:49:48+00:00,2018-07-17 22:16:03+00:00,26,13,3,2,9,6,3,1,Merge pull request #4718 from bmerry/fix-4716,0,0.0,0.0,1
4712,Remove unused httpbin parameters,Stevoisiak,2018-06-26 18:32:35+00:00,2018-07-18 02:39:19+00:00,5,5,1,1,1,0,1,1,Merge pull request #4718 from bmerry/fix-4716,5,2.0,0.4,0
4701,Documentation and tests for form-encoded multivalued elements as lists,akaihola,2018-06-20 19:26:18+00:00,2018-07-20 16:56:28+00:00,19,6,3,4,3,2,3,1,Merge pull request #4718 from bmerry/fix-4716,0,0.0,0.0,1
4717,Add official Python 3.7 support,ericwb,2018-06-28 06:32:11+00:00,2018-07-24 14:44:38+00:00,30,11,3,8,12,9,3,1,Merge pull request #4791 from juozasget/patch-1,0,0.0,0.0,1
4749,make content-type's charset information case-insensitive,derlin,2018-07-24 16:18:54+00:00,2018-07-24 16:42:28+00:00,5,1,2,1,1,0,2,1,Merge pull request #4723 from kalefranz/fix-no_proxy-file-url,0,0.0,0.0,1
4755,Add return type on cookies.py,dohvis,2018-08-01 08:21:19+00:00,2018-08-02 17:53:44+00:00,2,0,1,1,1,0,1,0,,0,0.0,0.0,1
4750,Update all documentation to show Python 3.7 is supported,jdufresne,2018-07-24 20:43:42+00:00,2018-08-02 17:55:41+00:00,3,1,3,1,1,0,3,0,,9,6.0,0.6666666666666666,0
4678,"In docs, use intersphinx to link to Python documentation",jdufresne,2018-06-10 17:52:04+00:00,2018-08-12 03:35:00+00:00,19,22,3,1,4,0,3,1,Merge pull request #4839 from rabdill/patch-1,10,6.0,0.6,0
4723,Fix assumed hostname when using a 'file' URI scheme adapter,kalefranz,2018-07-05 23:04:26+00:00,2018-08-13 16:54:33+00:00,5,0,2,1,5,0,2,0,,0,0.0,0.0,1
4779,Integrate Native CPC by BuySellAds,sayzlim,2018-09-10 14:48:20+00:00,2018-09-10 14:49:31+00:00,317,4,4,1,1,0,4,1,Merge pull request #4782 from sayzlim/master,0,0.0,0.0,1
4780,Correct fixed footer width,sayzlim,2018-09-10 14:52:54+00:00,2018-09-10 15:06:14+00:00,2,1,1,3,0,0,1,1,Merge pull request #4782 from sayzlim/master,1,1.0,1.0,0
4781,Adjust padding and button placements,sayzlim,2018-09-10 17:18:03+00:00,2018-09-10 19:35:08+00:00,2,2,2,2,2,0,2,1,Merge pull request #4782 from sayzlim/master,2,2.0,1.0,0
4782,Fix CSS error,sayzlim,2018-09-10 20:01:19+00:00,2018-09-10 20:02:01+00:00,1,2,2,1,1,0,2,0,,3,3.0,1.0,0
4785,Fix a typo in a test docstring,alexwlchan,2018-09-13 05:27:55+00:00,2018-09-13 05:57:32+00:00,1,1,1,1,1,0,1,0,,0,0.0,0.0,1
4718,Strip Authorization header whenever root URL changes,bmerry,2018-06-28 14:48:34+00:00,2018-09-14 12:08:05+00:00,44,11,2,2,16,20,2,0,,0,0.0,0.0,1
4787,Fix broken essay link,vinayak-mehta,2018-09-14 01:05:10+00:00,2018-09-15 00:08:44+00:00,1,1,1,1,2,0,1,0,,0,0.0,0.0,1
4791,"Tuple test_requirements was too long, PEP8",juozasget,2018-09-15 10:27:59+00:00,2018-09-15 13:44:27+00:00,8,1,1,1,0,0,1,0,,0,0.0,0.0,1
4802,Update README.md to fix typo,schafezp,2018-09-21 16:23:04+00:00,2018-09-21 16:27:13+00:00,0,0,0,0,0,0,1,1,Merge pull request #4874 from kaylangan/patch-1,0,0.0,0.0,1
4804,Remove dead link to unixstickers.com,jdufresne,2018-09-23 20:47:10+00:00,2018-09-30 20:04:01+00:00,0,2,1,1,1,0,1,0,,11,7.0,0.6363636363636364,0
4805,Prefer https:// for URLs throughout project,jdufresne,2018-09-23 20:56:44+00:00,2018-10-01 00:27:24+00:00,90,90,20,1,4,2,20,1,Merge pull request #4910 from moy/master,12,7.0,0.5833333333333334,0
4765,wrap url parsing exceptions from urllib3's PoolManager,nateprewitt,2018-08-11 20:00:13+00:00,2018-10-01 02:23:57+00:00,23,4,3,1,1,0,3,1,Merge branch 'master' into patch-1,7,3.0,0.42857142857142855,0
4827,CVE URLs update: www sub-subdomain no longer valid,webmaven,2018-10-16 16:11:14+00:00,2018-10-16 16:33:08+00:00,3,3,1,1,6,0,1,0,,0,0.0,0.0,1
4835,v2.20.0,nateprewitt,2018-10-17 15:55:17+00:00,2018-10-18 15:44:50+00:00,88,102,20,4,2,1,20,1,Merge pull request #4861 from altendky/patch-1,8,4.0,0.5,0
4839,Reverting redirect examples back to intended URLs,rabdill,2018-10-20 21:56:10+00:00,2018-10-20 23:36:10+00:00,3,3,1,1,3,0,1,0,,0,0.0,0.0,1
4851,proper handling for default ports in auth stripping,nateprewitt,2018-10-29 06:34:28+00:00,2018-10-29 12:48:37+00:00,24,2,3,1,3,0,3,1,Merge branch 'master' into patch-2,9,5.0,0.5555555555555556,0
4853,Incorrect ValueError Message on ~requests.utils.from_key_val_list comments,mainanick,2018-10-29 19:56:51+00:00,2018-10-30 06:13:57+00:00,1,1,1,3,1,0,1,0,,0,0.0,0.0,1
4861,Set iter_lines() decode_unicode default to False,altendky,2018-11-06 17:36:12+00:00,2018-11-09 20:44:35+00:00,1,1,1,2,3,0,1,0,,0,0.0,0.0,1
4869,Set up CI with Azure Pipelines,kaylangan,2018-11-12 19:27:56+00:00,2018-11-13 12:11:50+00:00,56,0,2,2,9,0,2,1,fix coverage,0,0.0,0.0,1
4870,Delete appveyor.yml,kennethreitz,2018-11-13 12:27:45+00:00,2018-11-13 12:51:25+00:00,0,57,1,1,0,0,1,0,,0,0.0,0.0,1
4868,Add Python 3.7 to tox test matrix,jdufresne,2018-11-11 20:02:36+00:00,2018-11-13 12:51:37+00:00,1,1,1,1,1,0,1,0,,13,8.0,0.6153846153846154,0
4867,Simplify tox.ini,jdufresne,2018-11-11 19:55:31+00:00,2018-11-13 12:52:07+00:00,0,1,1,1,1,0,1,0,,14,8.0,0.5714285714285714,0
4874,Add build badge for Azure Pipelines,kaylangan,2018-11-14 15:27:39+00:00,2018-11-14 15:33:07+00:00,1,0,1,1,0,0,1,0,,1,1.0,1.0,0
4898,revert azure pipeline changes,nateprewitt,2018-12-10 04:29:49+00:00,2018-12-10 04:31:10+00:00,399,50,8,1,1,0,8,1,Merge pull request #4940 from sloria/patch-2,10,6.0,0.6,0
4889,Bumped maximum version of idna,alex,2018-12-04 19:16:36+00:00,2018-12-10 05:41:15+00:00,1,1,1,1,12,1,1,0,,0,0.0,0.0,1
4901,v2.21.0,nateprewitt,2018-12-10 15:35:41+00:00,2018-12-10 15:36:34+00:00,9,2,2,1,0,0,2,0,,11,7.0,0.6363636363636364,0
4910,"get(), request(): fix documentation of 'params'",moy,2018-12-13 14:57:21+00:00,2018-12-13 21:34:11+00:00,2,2,1,1,0,0,1,1,[fix] fix failing doctests in requests/*,1,1.0,1.0,0
4936,Fix typo,ofek,2019-01-12 23:33:07+00:00,2019-01-12 23:54:22+00:00,2,2,1,1,0,0,1,1,Merge branch 'master' into patch-1,1,0.0,0.0,0
4915,Normalize percent-encoded bytes before comparison,sethmlarson,2018-12-23 21:54:59+00:00,2019-01-21 13:58:33+00:00,13,4,4,5,8,1,4,1,Merge pull request #4940 from sloria/patch-2,0,0.0,0.0,1
4940,Remove sudo: from .travis.yml,sloria,2019-01-17 01:59:35+00:00,2019-01-21 18:50:28+00:00,1,3,1,2,2,0,1,0,,0,0.0,0.0,1
4960,docs: correct error in 'merge_environment_settings' usage,andrewbonney,2019-02-04 13:30:48+00:00,2019-02-04 15:22:41+00:00,1,1,1,1,1,0,1,1,Merge branch 'master' into patch-1,0,0.0,0.0,1
5066,[doc website] Add a nice search experience,s-pace,2019-04-23 05:52:33+00:00,2019-04-23 12:23:58+00:00,42,1,2,2,1,0,2,1,Merge branch 'master' into patch-1,0,0.0,0.0,1
5062,"docs: Correct the spelling of ""maintenance""",alexwlchan,2019-04-20 20:07:40+00:00,2019-04-27 13:12:10+00:00,1,1,1,1,0,0,1,1,Merge branch 'master' into patch-1,1,0.0,0.0,0
5034,"Add `requests-async` link to ""non-blocking"" docs.",lovelydinosaur,2019-03-27 10:09:40+00:00,2019-04-27 13:13:43+00:00,2,1,1,1,0,0,1,1,Merge pull request #5141 from minho42/Fix-typos,0,0.0,0.0,1
5082,Linked contribution information in README,zurbrugc,2019-05-09 18:40:04+00:00,2019-05-09 21:37:33+00:00,5,4,1,1,1,0,1,1,Merge pull request #5054 from imikay/patch-1,0,0.0,0.0,1
5054,Add import statement to README example,imikay,2019-04-11 11:03:53+00:00,2019-05-09 21:38:20+00:00,1,0,1,2,0,5,1,0,,0,0.0,0.0,1
5092,v2.22.0,nateprewitt,2019-05-15 19:47:07+00:00,2019-05-16 05:12:48+00:00,383,280,7,3,3,0,7,1,Merge pull request #5141 from minho42/Fix-typos,12,7.0,0.5833333333333334,0
5088,Linked a GitHub tutorial regarding pull requests in README,zurbrugc,2019-05-14 18:36:16+00:00,2019-05-16 05:20:46+00:00,1,1,1,3,1,0,1,0,,1,1.0,1.0,0
5099,Print the type of the password instead of the password itself,petar-iv,2019-05-20 07:00:57+00:00,2019-05-20 15:35:41+00:00,1,1,1,1,0,0,1,0,,0,0.0,0.0,1
5108,Removed py34 from tox.ini.,atombrella,2019-06-03 06:46:22+00:00,2019-06-03 14:01:03+00:00,1,1,1,1,0,0,1,0,,0,0.0,0.0,1
5127,Document that `request.head` defaults `allow_redirects` to `False`,Unit03,2019-07-01 19:42:01+00:00,2019-07-12 00:18:43+00:00,3,1,1,1,0,1,1,1,Merge pull request #4987 from aless10/master,0,0.0,0.0,1
5142,Improve docs,dullbananas,2019-07-20 22:35:03+00:00,2019-07-21 03:57:01+00:00,11,2,4,5,0,0,4,1,Merge pull request #4976 from eduardomourar/feature/strip-utf8-bom,0,0.0,0.0,1
5141,Fix typos,minho42,2019-07-19 15:46:51+00:00,2019-07-23 16:53:22+00:00,2,2,2,1,0,0,2,1,Merge branch 'master' into patch-1,0,0.0,0.0,1
5145,Add missing backtick,dullbananas,2019-07-25 02:36:00+00:00,2019-07-29 16:06:12+00:00,1,1,1,2,1,0,1,1,Merge pull request #4987 from aless10/master,1,1.0,1.0,0
5167,[IMPROVEMENT] Update monthly download count,aadibajpai,2019-08-19 16:45:59+00:00,2019-08-19 17:54:32+00:00,1,1,1,1,3,0,1,1,Change documentation website to requests.readthedocs.io (#5236),0,0.0,0.0,1
5164,fix codecov logo in readme,dschaller,2019-08-16 01:45:56+00:00,2019-08-19 17:55:41+00:00,1,1,1,1,0,0,1,1,Change documentation website to requests.readthedocs.io (#5236),0,0.0,0.0,1
5160,Updated references to previous requests/requests GitHub path,nihaals,2019-08-13 22:00:51+00:00,2019-08-19 22:57:16+00:00,44,44,17,1,3,0,17,1,Change documentation website to requests.readthedocs.io (#5236),0,0.0,0.0,1
5119,Update sessions.py,alanyee,2019-06-24 17:13:07+00:00,2019-08-20 04:11:23+00:00,3,3,1,2,3,4,1,1,Merge pull request #4987 from aless10/master,0,0.0,0.0,1
5049,Support pytest 4,hroncok,2019-04-08 16:12:59+00:00,2019-08-20 04:12:59+00:00,3,2,2,1,3,0,2,1,Change documentation website to requests.readthedocs.io (#5236),0,0.0,0.0,1
5105,Update sessions.py,alanyee,2019-05-29 18:49:53+00:00,2019-08-20 04:14:37+00:00,1,5,1,1,1,0,1,1,Merge pull request #4987 from aless10/master,1,1.0,1.0,0
5128,Use urllib for chunked requests,lmvlmv,2019-07-02 10:13:18+00:00,2019-08-20 04:15:45+00:00,13,58,1,3,6,0,1,0,,0,0.0,0.0,1
5087,#4965 Fix,luckydenis,2019-05-14 09:18:13+00:00,2019-08-20 04:16:35+00:00,63,4,3,7,1,0,3,1,Merge pull request #5076 from myrheimb/patch-1,0,0.0,0.0,1
5018,Remove duplicate config,hugovk,2019-03-10 15:08:28+00:00,2019-08-20 04:17:54+00:00,1,14,1,3,2,0,1,0,,0,0.0,0.0,1
4978,Fix double image request,sayzlim,2019-02-12 13:26:21+00:00,2019-08-20 04:21:13+00:00,63,228,4,2,2,0,4,1,Change documentation website to requests.readthedocs.io (#5236),4,3.0,0.75,0
4999,Add project URLs with links to source code and docs,greysteil,2019-02-23 13:26:00+00:00,2019-08-20 04:21:32+00:00,4,0,1,1,1,0,1,1,Change documentation website to requests.readthedocs.io (#5236),0,0.0,0.0,1
4922,Remove unnecessary compat shim for OrderedDict,jdufresne,2018-12-29 15:43:49+00:00,2019-08-20 04:22:33+00:00,13,7,5,1,4,0,5,1,Merge pull request #4987 from aless10/master,15,8.0,0.5333333333333333,0
4983,Add trusted domains,jaketreacher,2019-02-15 04:21:37+00:00,2019-08-20 04:23:53+00:00,8,1,1,1,2,0,1,1,Merge pull request #4987 from aless10/master,0,0.0,0.0,1
4996,Add link to user-agent documentation,sblondon,2019-02-22 10:04:41+00:00,2019-08-20 04:24:09+00:00,2,1,1,2,0,0,1,1,Change documentation website to requests.readthedocs.io (#5236),0,0.0,0.0,1
4987,[fix] fix failing doctests in requests/*,aless10,2019-02-17 18:47:44+00:00,2019-08-20 04:25:51+00:00,18,9,8,15,1,3,8,1,Change documentation website to requests.readthedocs.io (#5236),0,0.0,0.0,1
4976,Fix for response with UTF-8 BOM,eduardomourar,2019-02-09 21:30:47+00:00,2019-08-20 04:27:00+00:00,39,0,4,4,10,0,4,1,Merge pull request #5076 from myrheimb/patch-1,0,0.0,0.0,1
5076,Possible fix for #4945?,myrheimb,2019-04-30 16:37:54+00:00,2019-08-20 04:38:22+00:00,1,1,1,1,1,0,1,0,,0,0.0,0.0,1
5171,Fix typo,MFStapert,2019-08-20 17:26:24+00:00,2019-08-20 17:28:49+00:00,1,1,1,1,0,0,1,0,,0,0.0,0.0,1
5197,Fix misspelling,peterschutt,2019-09-18 11:09:41+00:00,2019-09-19 15:29:30+00:00,1,1,1,1,1,0,1,1,Change documentation website to requests.readthedocs.io (#5236),0,0.0,0.0,1
5195,Fix formatting of status code example,tesuji,2019-09-17 12:36:50+00:00,2019-09-19 15:32:14+00:00,10,7,1,1,0,0,1,0,,0,0.0,0.0,1
5208,Part II: The Principle of Polarity,kennethreitz,2019-09-23 18:27:34+00:00,2019-09-23 20:08:41+00:00,15,20,6,7,1,1,6,1,Change documentation website to requests.readthedocs.io (#5236),1,0.0,0.0,0
5207,Test on Python 3.8 beta,hugovk,2019-09-23 14:29:26+00:00,2019-09-26 22:06:30+00:00,3,2,2,3,0,0,2,0,,1,0.0,0.0,0
5216,documentation link fixed,Leetcore,2019-09-29 16:11:17+00:00,2019-09-30 09:52:29+00:00,1,1,1,1,2,0,1,1,Change documentation website to requests.readthedocs.io (#5236),0,0.0,0.0,1
5243,Test on Python 3.8 final,hugovk,2019-10-22 15:47:28+00:00,2019-10-25 02:32:26+00:00,1,1,1,1,0,0,1,0,,2,0.0,0.0,0
5237,Update translation links from http -> https,chmreid,2019-10-19 00:35:38+00:00,2019-10-25 02:46:05+00:00,14,14,2,2,0,0,2,1,Change documentation website to requests.readthedocs.io (#5236),0,0.0,0.0,1
5236,Change documentation website to requests.readthedocs.io,ssbarnea,2019-10-18 16:29:33+00:00,2019-10-25 03:02:55+00:00,16,16,11,3,1,0,11,1,Add Python 2 support entry in FAQ (#5303),0,0.0,0.0,1
